No,theme,title_en,desc_en,title_ja,desc_ja,copy_right,ai_flag,taste_category,character_category,zip_path
1,基本の日常業務編,Dead-Eyed Salaryman: Daily Routine,Polite but soulless! Daily stickers for busy office workers with dead eyes.,死んだ目のサラリーマン【日常業務編】,光を失った瞳と、丁寧な敬語のギャップが魅力。日々の業務を淡々とこなす、全社畜に捧げるスタンプです。,©ryo,TRUE,敬語・丁寧,男性キャラ,
2,絶対絶命の平謝り編,Professional Apology (Not Sorry),"Exaggerated apologies for the office. Looks sorry, but not feeling it at all!",死んだ目のサラリーマン【全力謝罪編】,「申し訳ございません」と地面にめり込む勢いで謝ります。なお、心の中では1ミリも反省していません。,©ryo,TRUE,面白い・ネタ,男性キャラ,
3,感謝と称賛・おだて編,Soulless Flattery: Business Edition,Empty praise and hollow compliments for your boss and colleagues.,死んだ目のサラリーマン【棒読みおだて編】,「さすがです」「勉強になります」など、完全に心がこもっていない棒読みの褒め言葉をセットにしました。,©ryo,TRUE,面白い・ネタ,男性キャラ,
4,華の金曜・退勤間際編,Friday Rush: Escape from Office,Fresh greetings to hide your absolute obsession with leaving work on time.,死んだ目のサラリーマン【定時退勤編】,定時ダッシュへの凄まじい執念を、爽やかな笑顔と挨拶で隠して逃げ切るためのスタンプセットです。,©ryo,TRUE,挨拶,男性キャラ,
5,限界の残業・深夜労働編,The Midnight Overtime Grind,"Exhausted but ""still going."" Stickers for the late-night office warriors.",死んだ目のサラリーマン【限界残業編】,生気を失いながらも「まだまだいけます」と強がる姿が涙を誘う、深夜労働の必需品スタンプです。,©ryo,TRUE,シュール,男性キャラ,
6,休日出勤・恐怖の通知編,Holiday Work Nightmares,The despair of weekend notifications and the irony of an immediate reply.,死んだ目のサラリーマン【休日出勤編】,休日の通知に対する絶望と、それでも即レスしてしまう悲しき社畜の性が詰まったスタンプです。,©ryo,TRUE,シュール,男性キャラ,
7,理不尽・無茶振り対応編,I'll Consider It (Meaning: No),"Stickers for handling unreasonable requests with a polite ""Let me think about it.""",死んだ目のサラリーマン【検討します編】,「前向きに検討します」と言いつつ、絶対にやらないという固い意志を秘めた理不尽対応スタンプです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
8,納期直前・デスマーチ編,It's Fine! - Project on Fire,Pretending everything is on track while the background is literally burning.,死んだ目のサラリーマン【順調です編】,納期直前、背後の炎が見えていないかのように「順調です」とアピールする、決死のデスマーチスタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,
9,無言の圧力・催促編,Polite Pressure: Hannya Face,Urging others with extremely polite words but a terrifyingly angry face.,死んだ目のサラリーマン【無言の催促編】,言葉は極めて丁寧、表情は般若。相手を優しく（物理的に）追い詰めるための催促専用スタンプです。,©ryo,TRUE,敬語・丁寧,男性キャラ,
10,板挟みの中間管理職編,Middle Manager's Pained Smile,Smiling while clutching stomach medicine between the boss and staff.,死んだ目のサラリーマン【中間管理職編】,上司と部下の板挟みで胃を痛めながら、今日も笑顔で調整に走る中間管理職の哀愁スタンプセット。,©ryo,TRUE,面白い・ネタ,男性キャラ,
