No,theme,title_en,desc_en,title_ja,desc_ja,copy_right,ai_flag,taste_category,character_category,zip_path
1,全身タイツおじさん_春の訪れ,Spring Tights Uncle: Real Feelings,A tights-wearing uncle expresses your pure joy and confusion of spring. Perfect for everyday greetings!,春のキモかわ全開！全身タイツおじさん,春の陽気に浮かれるおじさんがあなたの本音を代弁！お花見や新生活の挨拶にドヤ顔で送れる便利なスタンプです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
2,全身タイツおじさん_花粉症,Spring Tights Uncle: Hay Fever,Sneezing and crying? This uncle represents all your hay fever struggles to make your friends laugh.,限界突破！花粉症の全身タイツおじさん,止まらないくしゃみや目のかゆみ…花粉症のしんどさを全身で表現！同じ苦しみを持つ友人に無言で送れる最強の共感スタンプ。,©ryo,TRUE,シュール,男性キャラ,
3,全身タイツおじさん_新生活応援,Spring Tights Uncle: New Life,Cheer up your friends starting anew! Awkward but heartwarming quotes from the tights uncle.,押し付けがましい？新生活応援おじさん,新社会人や学生へ！ちょっぴりウザいけど愛がある、全身タイツおじさんのエール。気まずい沈黙をぶち破るのに最適です。,©ryo,TRUE,挨拶,男性キャラ,
4,全身タイツおじさん_春眠気,Spring Tights Uncle: Sleepy Mode,Too sleepy to work? Let this sluggish tights uncle apologize for your slow replies in spring.,春眠暁を覚えず…激眠タイツおじさん,ぽかぽか陽気でどうしても眠いあなたへ。返信が遅れた時の言い訳や、無気力なアピールを全身タイツのおじさんが代わりに伝えます。,©ryo,TRUE,ほんわか・癒し,男性キャラ,
5,全身タイツおじさん_お花見酒,Spring Tights Uncle: Cherry Blossom,Ready to drink under the cherry trees? Use this uncle to invite friends for a spring party!,飲み会番長！お花見満喫タイツおじさん,桜より酒！お花見の誘いや、飲み会でのハイテンションなノリを完全再現。幹事の連絡や酔っ払いアピールにぴったりです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
6,全身タイツおじさん_五月病,Spring Tights Uncle: May Blues,Feeling down? The tights uncle shows your inner laziness and unmotivation with surreal humor.,五月病の極み！無気力タイツおじさん,やる気が出ない？そんなあなたのどす黒い本音を、だらけたタイツおじさんがポップに代弁。仕事に行きたくない朝の心の声です。,©ryo,TRUE,シュール,男性キャラ,
7,全身タイツおじさん_春服事情,Spring Tights Uncle: Spring Fashion,"He only wears tights, but he cares about spring trends! A surreal joke set for fashion lovers.",衣替え失敗？春服気取りのタイツおじさん,春のファッションを楽しみたいのに、なぜか年中全身タイツ。服の話題で適当に相槌を打ちたい時や、シュールな笑いを取りたい方に。,©ryo,TRUE,シュール,男性キャラ,
8,全身タイツおじさん_出会い別れ,Spring Tights Uncle: Farewells,Express your tears and smiles during graduation season with a weirdly emotional tights uncle.,涙腺崩壊…別れと出会いのタイツおじさん,卒業や送別会、寂しい気持ちをどう伝えていいかわからないあなたへ。キモいけど妙に心に響くおじさんが、素直な感情を届けます。,©ryo,TRUE,季節・行事,男性キャラ,
9,全身タイツおじさん_ピクニック,Spring Tights Uncle: Picnic Time,Let's go out! The excessively excited tights uncle makes planning outdoor spring dates super fun.,異常なハイテンション！春フェスおじさん,ピクニックや春のイベントに！無駄にはしゃぐおじさんの姿に、送られた側も思わず苦笑い。週末の予定決めに勢いを出したい時に。,©ryo,TRUE,面白い・ネタ,男性キャラ,
10,全身タイツおじさん_場所取り,Spring Tights Uncle: Securing Spots,Waiting alone under the blossoms? Share your lonely but funny situation with this tights uncle.,孤独な戦い！お花見場所取りおじさん,「まだ誰も来ない…」そんな気まずい待機時間を笑いに変える！遅刻者への無言のプレッシャーや、ぼっちアピールに最適。,©ryo,TRUE,面白い・ネタ,男性キャラ,
11,全身タイツおじさん_春の恋,Spring Tights Uncle: Spring Love,Feeling romantic? Let the blushing tights uncle ironically express your sweet but shy feelings.,痛いほどピュア！恋する全身タイツおじさん,春の出会いに胸を弾ませるおじさん。あえて好きな人に送って反応を伺うもよし、友人との恋バナで照れ隠しに使うもよし！,©ryo,TRUE,ラブリー,男性キャラ,
12,全身タイツおじさん_GW待ち,Spring Tights Uncle: Long Holiday,Counting down to the holidays! Use this uncle to show your impatience for the long vacation.,浮かれすぎ！GW待ちわびタイツおじさん,「はやく休みにならないかな…」そんな社会人の心の叫びを完全代弁！連休前の浮き足立った気持ちを全力で相手にぶつけよう。,©ryo,TRUE,季節・行事,男性キャラ,
13,全身タイツおじさん_春ダイエット,Spring Tights Uncle: Spring Diet,Trying to get in shape for summer? The tights show every curve. Perfect for diet struggles!,体型丸わかり！春のダイエットおじさん,全身タイツだから誤魔化しがきかない！「明日から本気出す」という挫折しがちなあなたの言い訳を、おじさんが体を張って表現。,©ryo,TRUE,シュール,男性キャラ,
14,全身タイツおじさん_エイプリル,Spring Tights Uncle: April Fools,Trick your friends with the tights uncle's harmless and surreal spring jokes and lies.,嘘か真か！？エイプリルフールおじさん,4月1日専用！バレバレの嘘や冗談でトークルームをかき回す。返しに困った時のお茶濁しにも使える、ちょっと迷惑なスタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,
15,全身タイツおじさん_春一番,Spring Tights: Strong Spring Wind,Blown away by the spring wind! A hilarious tights uncle reacting to weird spring weather.,春一番に吹き飛ばされる！強風おじさん,荒れ狂う春の天気への文句を代弁！髪型が崩れたり（おじさんには関係ないけど）予定が狂った時の八つ当たりにぴったり。,©ryo,TRUE,季節・行事,男性キャラ,
16,全身タイツおじさん_日向ぼっこ,Spring Tights Uncle: Sunbathing,Doing absolutely nothing. Send this unmotivated tights uncle when you want to relax all day.,究極の怠慢！日向ぼっこタイツおじさん,何もしたくない休日のあなたそのもの。ただただダラダラ過ごすおじさんを送って、既読スルーすら面倒な時の返信代わりに。,©ryo,TRUE,ほんわか・癒し,男性キャラ,
17,全身タイツおじさん_いちご狩り,Spring Tights: Strawberry Picking,Surreal mismatch! A creepy uncle enthusiastically enjoying cute strawberry picking activities.,ギャップ萌え？いちご狩りタイツおじさん,メルヘンな春の行事と、キモいおじさんのシュールな融合。女子会トークにわざと投下して、場を凍りつかせたい（？）あなたに。,©ryo,TRUE,シュール,男性キャラ,
18,全身タイツおじさん_大掃除,Spring Tights Uncle: Spring Clean,Sweeping away the dust and bad vibes! Motivate your friends with a cleaning tights uncle.,謎の潔癖！春の断捨離タイツおじさん,新年度を迎えて急に部屋を片付けたくなる衝動を表現。家族への「片付けろ」という無言の圧力や、家事アピールに効果絶大。,©ryo,TRUE,シュール,男性キャラ,
19,全身タイツおじさん_先輩風,Spring Tights Uncle: Bossy Senior,"Acting like a big boss to newcomers, but wearing tights. A subtle joke for your colleagues.",威厳ゼロ！先輩風を吹かすタイツおじさん,後輩ができて急に偉そうにするあなたへ（笑）。上から目線なのに全身タイツという矛盾で、キツい言葉もマイルドに伝わります。,©ryo,TRUE,敬語・丁寧,男性キャラ,
20,全身タイツおじさん_新緑ドライブ,Spring Tights Uncle: Spring Drive,Inviting friends for a road trip? Let the cool tights uncle take the wheel in his unique style.,助手席は君だ！新緑ドライブおじさん,ドライブのお誘いや、旅行の計画でテンションが上がっているあなたに。ちょっとウザいおじさんのエスコートで笑いを取ろう。,©ryo,TRUE,カッコいい,男性キャラ,
