No,theme,title_en,desc_en,title_ja,desc_ja,copy_right,ai_flag,taste_category,character_category,zip_path
1,01_丁寧な敬語,Kimono Lady: Polite Keigo,A graceful beauty in kimono delivers the most refined keigo phrases. Perfect for daily conversations where you want to add a touch of elegance and respect.,和服美人の丁寧な敬語スタンプ,凛とした和服美人が、美しい敬語で日常を彩ります。「かしこまりました」「失礼いたします」など、品のある言葉遣いをスタンプで。ビジネスにも日常にも使える上品な敬語コレクション。,©ryo,TRUE,敬語・丁寧,女性キャラ,
2,02_優しい言葉,Kimono Lady: Tender Words,Warm and caring phrases spoken by a beautiful woman in kimono. Send gentle encouragement and heartfelt kindness to someone you care about.,和服美人の心に寄り添う優しい言葉,温かく優しい和服美人が、相手を思いやる言葉を届けます。「ご無理なさらず」「そばにいますよ」など、大切な人の心にそっと寄り添うスタンプセット。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
3,03_おしとやかな承諾,Kimono Lady: Graceful Acceptance,"An elegant kimono beauty gracefully says yes in the most charming ways. From cheerful agreement to determined commitment, every response is pure grace.",和服美人のおしとやかな承諾スタンプ,上品な和服美人が、おしとやかに「はい」を伝えます。「喜んで」「お任せください」「ぜひに」など、承諾の一言一言に優美さが溢れるスタンプ集。,©ryo,TRUE,カワイイ・キュート,女性キャラ,
4,04_謙虚な感謝,Kimono Lady: Humble Gratitude,Express deep and humble gratitude through a beautiful woman in traditional Japanese attire. Heartfelt thanks delivered with utmost grace and sincerity.,和服美人の謙虚な感謝スタンプ,奥ゆかしい和服美人が、心からの感謝を伝えます。「痛み入ります」「おかげさまで」「ありがたき幸せ」など、日本の美しい感謝の心をスタンプに込めました。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
5,05_爽やかな朝の挨拶,Kimono Lady: Fresh Morning Greetings,Start your day with refreshing morning greetings from a radiant kimono beauty. Bright smiles and uplifting words to energize your mornings.,和服美人の爽やかな朝の挨拶,爽やかな笑顔の和服美人が、朝の挨拶を届けます。「おはようございます」「良き一日を」「清々しい朝ですね」など、一日の始まりを彩る朝スタンプ。,©ryo,TRUE,挨拶,女性キャラ,
6,06_雅な夜の挨拶,Kimono Lady: Elegant Evening Greetings,Wind down your day with graceful evening greetings from a serene kimono beauty. Moonlit elegance and peaceful words for the night.,和服美人の雅な夜の挨拶スタンプ,月明かりに映える和服美人が、雅な夜の挨拶を贈ります。「おやすみなさいませ」「良き夜を」など、一日の終わりを美しく締めくくる夜のスタンプ集。,©ryo,TRUE,挨拶,女性キャラ,
7,07_控えめな自己主張,Kimono Lady: Gentle Self-Expression,A kimono beauty expresses her opinions with quiet confidence and refined restraint. Subtle yet impactful self-assertion with Japanese grace.,和服美人の控えめな自己主張スタンプ,控えめながらも芯のある和服美人が、上品に自分の意見を伝えます。奥ゆかしさの中に光る、しなやかな自己主張のスタンプコレクション。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
8,08_季節の風情を感じる挨拶,Kimono Lady: Seasonal Greetings,"Experience the beauty of Japanese seasons through a kimono lady. Cherry blossoms, autumn leaves, snow scenes — seasonal greetings in pure elegance.",和服美人の季節の風情スタンプ,四季折々の風情を纏う和服美人が、季節の挨拶を届けます。桜、紅葉、雪景色…日本の美しい四季を感じるスタンプセットです。,©ryo,TRUE,季節・行事,女性キャラ,
9,09_凛としたお断り,Kimono Lady: Dignified Refusal,Sometimes you need to say no with grace. A composed kimono beauty delivers polite and dignified refusals that maintain harmony and respect.,和服美人の凛としたお断りスタンプ,凛とした和服美人が、品格を保ちながら丁重にお断りします。「恐れ入りますが」「ご容赦ください」など、角が立たない上品なお断りスタンプ。,©ryo,TRUE,敬語・丁寧,女性キャラ,
10,10_上品な喜び,Kimono Lady: Elegant Joy,"Pure delight expressed with refinement! A kimono beauty shares moments of joy, from gentle smiles to sparkling eyes of happiness.",和服美人の上品な喜びスタンプ,嬉しさを上品に表現する和服美人のスタンプ集。控えめながらも溢れ出る喜びを、優雅な仕草と表情で伝えます。お祝いや嬉しい報告に。,©ryo,TRUE,カワイイ・キュート,女性キャラ,
11,11_驚きの仕草,Kimono Lady: Surprised Gestures,Adorable moments of surprise from a kimono beauty. From wide-eyed wonder to charming gasps — every reaction is irresistibly elegant.,和服美人の驚きの仕草スタンプ,思わず目を見開く和服美人の驚きリアクション集。「まあ！」「なんと！」など、驚きの瞬間も上品に表現。意外な出来事への返信にぴったり。,©ryo,TRUE,カワイイ・キュート,女性キャラ,
12,12_励ましと応援,Kimono Lady: Cheers & Encouragement,Get uplifted by a supportive kimono beauty! Warm words of encouragement and heartfelt cheering to motivate your friends and loved ones.,和服美人の励まし＆応援スタンプ,温かい眼差しの和服美人が、心を込めて励まし応援します。「頑張って」「あなたなら大丈夫」など、大切な人を勇気づけるスタンプ集。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
13,13_深々としたお詫び,Kimono Lady: Sincere Apologies,"When words alone are not enough, let a kimono beauty convey your deepest apologies. Profound bows and heartfelt remorse expressed with grace.",和服美人の深々としたお詫びスタンプ,深々と頭を下げる和服美人が、心からのお詫びを伝えます。「申し訳ございません」「ご迷惑をおかけしました」など、誠意あるお詫びのスタンプ。,©ryo,TRUE,敬語・丁寧,女性キャラ,
14,14_期待・楽しみ,Kimono Lady: Anticipation & Excitement,A kimono beauty radiating excitement and anticipation. Share the joy of looking forward to something wonderful with these elegant stickers.,和服美人の期待＆楽しみスタンプ,ワクワクが止まらない和服美人のスタンプ集。「楽しみです」「待ちきれません」など、期待に胸を膨らませる気持ちを上品に表現します。,©ryo,TRUE,カワイイ・キュート,女性キャラ,
15,15_お祝いの言葉,Kimono Lady: Congratulations,Celebrate special moments with a stunning kimono beauty! Elegant congratulations and festive blessings for every joyous occasion.,和服美人のお祝いスタンプ,華やかな和服美人が心からのお祝いを届けます。「おめでとうございます」「祝福いたします」など、お祝いの場面を格上げする上品なスタンプ集。,©ryo,TRUE,季節・行事,女性キャラ,
16,16_さりげない共感,Kimono Lady: Subtle Empathy,"A kimono beauty who understands exactly how you feel. Gentle nods, knowing smiles, and soft words that show you truly get it.",和服美人のさりげない共感スタンプ,そっと共感を示す和服美人のスタンプ。「わかります」「そうですよね」など、相手の気持ちに寄り添う、さりげない共感の言葉を集めました。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
17,17_謙遜のポーズ,Kimono Lady: Modest Poses,Humble and endearing poses from a kimono beauty. Charming modesty that makes her even more lovable — Japanese humility at its finest.,和服美人の謙遜ポーズスタンプ,「いえいえ」「とんでもございません」など、奥ゆかしく謙遜する和服美人のスタンプ。褒められた時の返しに使える、日本らしい美しい謙遜表現集。,©ryo,TRUE,敬語・丁寧,女性キャラ,
18,18_再会の願い,Kimono Lady: Wishing to Meet Again,Bittersweet farewells and warm wishes for reunion from a kimono beauty. Touching stickers for when you miss someone or look forward to seeing them.,和服美人の再会の願いスタンプ,「またお会いしましょう」「お元気で」など、再会を願う和服美人のスタンプ。別れの寂しさと再会への期待を、上品に表現したスタンプ集。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
19,19_落ち着きを促す,Kimono Lady: Calming Presence,"Let a serene kimono beauty soothe your soul. Peaceful encouragement to take a breath, slow down, and find inner calm amidst the chaos.",和服美人の落ち着きを促すスタンプ,穏やかな和服美人が「深呼吸しましょう」「焦らずに」など、心を落ち着かせる言葉を届けます。忙しい日々に安らぎをもたらすスタンプセット。,©ryo,TRUE,ほんわか・癒し,女性キャラ,
20,20_固い決意,Kimono Lady: Strong Determination,An unwavering kimono beauty shows her fierce resolve. Powerful determination wrapped in elegance — for when you mean serious business.,和服美人の固い決意スタンプ,凛々しい表情の和服美人が、揺るぎない決意を表明します。「必ずやり遂げます」「覚悟は決めました」など、強い意志を美しく伝えるスタンプ。,©ryo,TRUE,カッコいい,女性キャラ,
26,和服美人,Kimono Beauty: Wild Side Collection,"A kimono beauty like you have never seen! From junk food adventures to gaming frenzies, glitch bugs to extreme sports — beautiful chaos in silk.",和服美人のギャップ萌え全開スタンプ,和服美人がジャンクフード、ゲーミング、バグポーズ、エクストリームスポーツに挑戦！ギャップ萌え全開の和服美人が送る、予想外の爆笑スタンプ集。,©ryo,TRUE,面白い・ネタ,女性キャラ,
27,和服美人_敬語,Kimono Lady: Classic Keigo Edition,Timeless keigo delivered by a kimono beauty with impeccable manners. Traditional elegance meets everyday communication in this essential set.,和服美人の王道敬語スタンプ,正統派の和服美人が送る、王道の敬語スタンプ集。「左様でございます」「お供いたします」など、格式高い敬語表現を美しい和服姿でお届けします。,©ryo,TRUE,敬語・丁寧,女性キャラ,
30,和服美人ｘ猫ｘ敬語,Kimono Lady & Cat: Polite Speech,Polite and proper stickers featuring a kimono beauty and her well-mannered cat. The purr-fect way to add elegance to your conversations.,和服美人と猫の敬語スタンプ,和服美人と猫が上品な敬語をお届け。「かしこまりました」「失礼いたします」など、猫と一緒だからこそ堅くなりすぎない、絶妙な敬語スタンプ。,©ryo,TRUE,敬語・丁寧,女性キャラ,
33,セルフ応援団,Self-Cheer Squad: Suited Man Edition,"A man in a suit becomes a one-man cheerleading squad! Over-the-top pep rallies, pom-poms, and unstoppable enthusiasm in corporate attire.",スーツ男のセルフ応援団スタンプ,スーツ姿の男が全力でセルフ応援！ポンポン、メガホン、旗振り…一人なのに大迫力の応援団。仕事中のテンションアップにも使えるスタンプ集。,©ryo,TRUE,面白い・ネタ,男性キャラ,
34,壁に埋まったり宙に浮くバグポーズ,Glitch Bug Poses: Man in Suit,"Hilarious video game glitch poses by a man in a suit! Stuck in walls, floating in mid-air, and T-posing — the funniest bugs come to life.",スーツ男のバグポーズスタンプ,スーツ男がゲームのバグみたいに暴走！壁に埋まる、宙に浮く、Tポーズで滑走…物理法則を完全に無視した爆笑のバグポーズスタンプ集。,©ryo,TRUE,シュール,男性キャラ,
35,必死すぎる擬態,Desperate Mimicry: Man in Suit,A man in a suit desperately tries to blend in with his surroundings. Heroic yet hopeless camouflage attempts that are impossibly funny.,スーツ男の必死すぎる擬態スタンプ,スーツ姿の男が必死に周囲に溶け込もうとする擬態シリーズ。街灯に化ける、壁と同化…必死すぎる擬態に思わず吹き出す爆笑スタンプ。,©ryo,TRUE,シュール,男性キャラ,
36,感情がタイツの色に出ちゃうシリーズ,Color-Coded Emotions: Suit Man,"His suit changes color based on his emotions! Red for anger, blue for sadness, rainbow for pure joy — feelings you just cannot hide.",スーツの色で感情バレバレスタンプ,感情がスーツの色に出ちゃう男のスタンプ！怒りで真っ赤、悲しみで青、嬉しさで虹色…隠せない感情が色に出る、感情ダダ漏れスタンプ集。,©ryo,TRUE,面白い・ネタ,男性キャラ,
