theme,prompt,done
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Drinking coffee with lifeless eyes at a desk"" | TEXT=""承知いたしました""
P2: ACTION/PROPS=""Crushed in a packed train, staring blankly"" | TEXT=""向かっております""
P3: ACTION/PROPS=""Logging into a computer with a hollow expression"" | TEXT=""おはようございます""
P4: ACTION/PROPS=""Limply adjusting tie with dead eyes"" | TEXT=""行ってまいります""
P5: ACTION/PROPS=""Holding an energy drink like a robot"" | TEXT=""準備万端です""
P6: ACTION/PROPS=""Staring at a clock showing 9 AM"" | TEXT=""業務を開始します""
P7: ACTION/PROPS=""Giving a weak thumbs up with no emotion"" | TEXT=""大丈夫です""
P8: ACTION/PROPS=""Standing perfectly still in an elevator, eyes void"" | TEXT=""移動中です""
P9: ACTION/PROPS=""Staring at a mounting pile of files, expressionless"" | TEXT=""確認します""",
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Typing meeting minutes with incredible speed, eyes dead"" | TEXT=""記録いたしました""
P2: ACTION/PROPS=""Presenting with a laser pointer, completely disengaged"" | TEXT=""ご説明いたします""
P3: ACTION/PROPS=""Listening to a long speech with a blank stare"" | TEXT=""拝聴しております""
P4: ACTION/PROPS=""Nodding emotionlessly at a ridiculous proposal"" | TEXT=""斬新ですね""
P5: ACTION/PROPS=""Bowing over a phone receiver with void eyes"" | TEXT=""お世話になっております""
P6: ACTION/PROPS=""Standing against a wall during a meeting, looking soul-less"" | TEXT=""参加しております""
P7: ACTION/PROPS=""Waiting for a conference call to connect, expressionless"" | TEXT=""待機中です""
P8: ACTION/PROPS=""Pointing at a graph with zero enthusiasm"" | TEXT=""結果です""
P9: ACTION/PROPS=""Handing over a business card robotically"" | TEXT=""頂戴いたします""",
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Typing at high speed on a laptop, dark circles under eyes"" | TEXT=""集中しております""
P2: ACTION/PROPS=""Buried under an avalanche of paperwork"" | TEXT=""手一杯です""
P3: ACTION/PROPS=""Staring at a frozen computer screen, eyes void"" | TEXT=""再起動します""
P4: ACTION/PROPS=""Answering two phones simultaneously, expressionless"" | TEXT=""折り返します""
P5: ACTION/PROPS=""Pushing a heavy cart of documents like a zombie"" | TEXT=""運びます""
P6: ACTION/PROPS=""Filing papers into binders with mechanical movements"" | TEXT=""整理しております""
P7: ACTION/PROPS=""Stamping documents repeatedly with dead eyes"" | TEXT=""承認いたしました""
P8: ACTION/PROPS=""Dead eyes staring out from a completely dark office"" | TEXT=""まだ終われません""
P9: ACTION/PROPS=""Holding a massive stack of folders"" | TEXT=""資料です""",
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Performing a deep 90-degree bow, expression hidden"" | TEXT=""申し訳ございません""
P2: ACTION/PROPS=""Listening to a scolding with a blank, lifeless stare"" | TEXT=""反省しております""
P3: ACTION/PROPS=""Kneeling robotically on the office floor"" | TEXT=""失態でした""
P4: ACTION/PROPS=""Correcting a document typo with a hollow face"" | TEXT=""修正いたしました""
P5: ACTION/PROPS=""Staring blankly at a terrible mistake"" | TEXT=""把握しました""
P6: ACTION/PROPS=""Reviewing documents with a red pen, eyes void"" | TEXT=""見直します""
P7: ACTION/PROPS=""Scratching head with a neutral, empty expression"" | TEXT=""失念しておりました""
P8: ACTION/PROPS=""Hands pressed together in apology, eyes dead"" | TEXT=""ご容赦ください""
P9: ACTION/PROPS=""Giving a weak, robotic salute of apology"" | TEXT=""以後気をつけます""",
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Eating a convenience store rice ball with void eyes"" | TEXT=""休憩をいただきます""
P2: ACTION/PROPS=""Drinking canned coffee outside, staring blankly"" | TEXT=""リフレッシュしております""
P3: ACTION/PROPS=""Staring at a convenience store bento box"" | TEXT=""栄養を摂ります""
P4: ACTION/PROPS=""Sleeping face-down on a desk with a dead expression"" | TEXT=""仮眠します""
P5: ACTION/PROPS=""Smoking a cigarette outside, looking hollow"" | TEXT=""喫煙中""
P6: ACTION/PROPS=""Looking at a smartphone on a park bench"" | TEXT=""情報収集しております""
P7: ACTION/PROPS=""Buying a drink from a vending machine, robotic"" | TEXT=""水分補給します""
P8: ACTION/PROPS=""Standing still in a sunny spot, eyes lifeless"" | TEXT=""日光浴です""
P9: ACTION/PROPS=""Stretching stiff arms with a hollow face"" | TEXT=""ほぐします""",
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Walking towards the office exit with zero energy"" | TEXT=""お先に失礼します""
P2: ACTION/PROPS=""Staring at dark windows in a late-night office"" | TEXT=""残業します""
P3: ACTION/PROPS=""Packing belongings into a bag mechanically"" | TEXT=""帰路に就きます""
P4: ACTION/PROPS=""Waiting for an elevator, looking completely spent"" | TEXT=""終わりました""
P5: ACTION/PROPS=""Sitting on a late-night train, eyes closed tightly"" | TEXT=""お疲れ様でした""
P6: ACTION/PROPS=""Approaching subway ticket gates robotically"" | TEXT=""到着しました""
P7: ACTION/PROPS=""Pointing at a calendar with no emotion"" | TEXT=""明日も来ます""
P8: ACTION/PROPS=""Waving a slow, weak goodbye"" | TEXT=""失礼いたします""
P9: ACTION/PROPS=""Falling into bed while still in a suit"" | TEXT=""良い夢を""",
死んだ目のサラリーマン【全力謝罪編】,,
死んだ目のサラリーマン【全力謝罪編】,,
死んだ目のサラリーマン【全力謝罪編】,,
死んだ目のサラリーマン【全力謝罪編】,,
