No,theme,title_en,desc_en,title_ja,desc_ja,copy_right,ai_flag,taste_category,character_category,zip_path
1,クオッカ省エネスタンプ１,Quokka: Simple & Useful Everyday,"Cute Quokka stickers for daily chats. Simple, easy to use, and full of smiles!",クオッカの省エネスタンプ１,毎日使えるクオッカの便利なスタンプ。笑顔いっぱいで、毎日のチャットを楽しく彩ります。,©ryo,FALSE,ほんわか・癒し,その他,
2,クオッカ省エネスタンプ２,Quokka: Simple & Useful Vol.2,The 2nd edition of the smiling Quokka! Useful phrases for smooth communication.,クオッカの省エネスタンプ２,世界一幸せな動物クオッカの第2弾！よく使うフレーズを厳選した、使いやすいスタンプです。,©ryo,FALSE,ほんわか・癒し,その他,
3,クオッカ省エネスタンプ３,Quokka: Simple & Useful Vol.3,Quokka is back with more smiles! Perfect for quick and friendly replies.,クオッカの省エネスタンプ３,クオッカの省エネスタンプ第3弾！日常の何気ない返信にぴったりの、癒やし系セットです。,©ryo,FALSE,ほんわか・癒し,その他,
4,春を感じるクオッカ省エネスタンプ1,Quokka: Happy Spring Days,Enjoy spring with the smiling Quokka and beautiful cherry blossoms!,春を感じるクオッカ省エネスタンプ1,桜舞う春の季節にぴったりなクオッカのスタンプ。新生活の挨拶にも使いやすいデザインです。,©ryo,FALSE,季節・行事,その他,
5,あるとうれしい敬語ｘクオッカ省エネスタンプ1,Quokka: Polite & Kind Phrases,"Polite Quokka stickers for work and formal chats. Kind, respectful, and cute!",あるとうれしい敬語ｘクオッカ省エネスタンプ1,お仕事や丁寧なやり取りに便利な、クオッカの敬語スタンプ。優しく誠実な印象を伝えます。,©ryo,FALSE,敬語・丁寧,その他,
6,あるとうれしい敬語ｘクオッカ省エネスタンプ2,Quokka: Polite Phrases Vol.2,More polite Quokka stickers with a touch of spring. Perfect for everyday courtesy.,あるとうれしい敬語ｘクオッカ省エネスタンプ2,クオッカの敬語スタンプ第2弾！春の彩りを添えた、丁寧で使いやすいフレーズが満載です。,©ryo,FALSE,敬語・丁寧,その他,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
